feedback,status,subject,enrollment_date,age,country,study_hours_per_week
I really enjoyed the instructor's teaching style.,Completed,Psychology,18-03-2022,18,Australia,12.1
The overall experience was decent but not outstanding.,Dropout,Psychology,07-01-2022,28,Canada,13.7
The course was okay but could be better.,Dropout,Mathematics,28-03-2022,26,Japan,12.6
The overall experience was decent but not outstanding.,Dropout,Psychology,14-10-2024,30,Japan,11.1
This course helped me a lot in understanding the subject.,Completed,Machine Learning,11-02-2023,32,Japan,9.3
"Some topics were useful, others were not very relevant.",Dropout,History,23-08-2023,21,Brazil,18.3
There were too many assignments with little explanation.,Dropout,Physics,20-09-2024,27,India,10.2
This course helped me a lot in understanding the subject.,Completed,Physics,23-12-2022,42,Germany,9.3
"The pace was average, not too fast or too slow.",Dropout,Philosophy,16-08-2023,36,Japan,18.3
The course was very engaging and easy to follow.,Completed,Machine Learning,25-06-2023,23,Brazil,17.1
The course was too difficult and confusing.,Dropout,Physics,14-08-2024,19,China,9.8
I found the lectures boring and unhelpful.,Dropout,Machine Learning,21-04-2024,19,UK,13.6
The instructor did not explain concepts clearly.,Dropout,Machine Learning,21-06-2022,25,Germany,14
The content was clear and well structured.,Completed,Machine Learning,21-06-2022,32,India,14.9
"The pace was average, not too fast or too slow.",Completed,Data Science,25-05-2022,35,Brazil,18
"The pace was average, not too fast or too slow.",Completed,Mathematics,26-11-2022,42,USA,9.6
"The pace was average, not too fast or too slow.",Completed,Economics,23-04-2023,36,South Africa,19.5
I liked parts of the course but not everything.,Completed,Data Science,20-12-2022,19,India,5.9
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,18-10-2023,33,USA,16.7
I lost motivation because the content was overwhelming.,Dropout,History,24-06-2022,27,Japan,8.7
There were too many assignments with little explanation.,Dropout,Economics,20-10-2024,39,Japan,6.1
The overall experience was decent but not outstanding.,Dropout,History,30-10-2024,22,South Africa,14.8
The overall experience was decent but not outstanding.,Completed,Computer Science,13-04-2022,26,India,12.2
I found the lectures boring and unhelpful.,Dropout,Psychology,01-07-2022,43,Japan,9
"Some topics were useful, others were not very relevant.",Completed,Data Science,09-10-2024,35,Canada,4.4
"The pace was average, not too fast or too slow.",Completed,Economics,05-04-2023,28,Brazil,7.7
The overall experience was decent but not outstanding.,Completed,History,08-01-2023,27,India,17.8
I completed all modules and feel more confident now.,Completed,Philosophy,10-02-2024,30,China,5.7
The overall experience was decent but not outstanding.,Completed,History,22-02-2022,26,South Africa,10.7
I found the lectures boring and unhelpful.,Dropout,Computer Science,24-01-2022,22,China,7.4
The content was clear and well structured.,Completed,Mathematics,30-12-2023,36,Canada,16.7
I completed all modules and feel more confident now.,Completed,Economics,14-09-2022,18,China,19.4
The instructor did not explain concepts clearly.,Dropout,Economics,30-03-2024,35,China,5.3
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,14-06-2023,30,South Africa,3.9
The overall experience was decent but not outstanding.,Completed,Philosophy,20-05-2022,31,India,12.8
I found the lectures boring and unhelpful.,Dropout,Psychology,01-06-2022,24,USA,12.1
The course was okay but could be better.,Dropout,Philosophy,01-12-2022,44,Canada,14.6
I lost motivation because the content was overwhelming.,Dropout,Physics,31-08-2024,41,Brazil,18
The content was clear and well structured.,Completed,Physics,31-03-2022,26,Germany,11.6
"Some topics were useful, others were not very relevant.",Dropout,Business,14-02-2022,23,Germany,18.2
I completed all modules and feel more confident now.,Completed,Computer Science,24-10-2022,26,USA,12.7
The course was okay but could be better.,Completed,Data Science,31-01-2023,40,Australia,6.2
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,20-08-2024,42,South Africa,18
"The pace was average, not too fast or too slow.",Dropout,Mathematics,14-06-2023,37,China,11.9
"The pace was average, not too fast or too slow.",Dropout,Economics,06-01-2022,45,Brazil,9.8
I found the lectures boring and unhelpful.,Dropout,Psychology,13-06-2022,32,Australia,8.9
I lost motivation because the content was overwhelming.,Dropout,Business,14-01-2023,30,Brazil,19
The overall experience was decent but not outstanding.,Completed,Economics,25-05-2023,40,Japan,8.5
I completed all modules and feel more confident now.,Completed,Economics,20-02-2024,36,Australia,14.1
The course was okay but could be better.,Dropout,Business,19-06-2023,28,India,3.1
The overall experience was decent but not outstanding.,Dropout,Mathematics,30-04-2022,45,South Africa,19.9
"Some topics were useful, others were not very relevant.",Dropout,Data Science,21-12-2023,21,USA,10
The course was very engaging and easy to follow.,Completed,Physics,19-03-2024,24,Brazil,7
The content was clear and well structured.,Completed,Machine Learning,20-11-2024,36,Australia,7.2
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,16-01-2022,19,India,12.3
The content was clear and well structured.,Completed,Psychology,22-12-2024,36,Australia,4.4
"Some topics were useful, others were not very relevant.",Completed,History,16-07-2023,43,China,12.7
I liked parts of the course but not everything.,Completed,History,13-04-2022,28,Brazil,6
The instructor did not explain concepts clearly.,Dropout,Business,17-05-2024,45,Germany,10.3
The course was okay but could be better.,Completed,Economics,01-03-2022,36,South Africa,15.9
The course was okay but could be better.,Completed,Physics,29-01-2023,43,China,16.3
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,12-05-2023,45,Germany,5.9
"Some topics were useful, others were not very relevant.",Completed,Mathematics,13-01-2023,42,Brazil,7.4
The course was very engaging and easy to follow.,Completed,Machine Learning,23-03-2024,38,Germany,12.5
This course helped me a lot in understanding the subject.,Completed,Data Science,19-01-2022,40,Brazil,4
I found the lectures boring and unhelpful.,Dropout,Mathematics,08-11-2022,27,UK,19.3
"Some topics were useful, others were not very relevant.",Completed,Computer Science,28-08-2024,27,Brazil,3.6
The overall experience was decent but not outstanding.,Completed,Machine Learning,10-03-2024,18,USA,2.5
I really enjoyed the instructor's teaching style.,Completed,Machine Learning,02-02-2024,45,China,16.5
"The pace was average, not too fast or too slow.",Completed,Economics,06-03-2024,19,India,15.4
I found the lectures boring and unhelpful.,Dropout,Computer Science,23-11-2024,30,South Africa,14.5
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,21-12-2022,36,Japan,17.8
I liked parts of the course but not everything.,Completed,Data Science,14-07-2023,32,UK,19.9
I completed all modules and feel more confident now.,Completed,Mathematics,20-05-2024,20,UK,14.9
The course was too difficult and confusing.,Dropout,Physics,18-12-2024,26,Canada,15
The course was okay but could be better.,Completed,Physics,30-05-2024,29,Japan,14.9
I liked parts of the course but not everything.,Dropout,Economics,19-12-2023,44,UK,8
"The pace was average, not too fast or too slow.",Completed,Mathematics,27-09-2023,22,USA,13.8
"The pace was average, not too fast or too slow.",Dropout,Business,03-06-2023,29,Australia,1.9
I completed all modules and feel more confident now.,Completed,Psychology,23-01-2024,27,South Africa,7.4
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,17-08-2022,22,Canada,3.9
